                     1          2          4          8
  1000000000.353618   0.797211   1.480616   2.814159   
  2000000000.177164   0.352694   0.702673   1.423674   
  4000000000.092487   0.184711   0.369188   0.737932   
  8000000000.092636   0.185069   0.369784   0.739375   
                                            
                                            
                                            
                                            
                                            
                                            
                                            
                                            
                                            
